File_Name,Description,Provided_CMMC_Mappings,Suggested_CMMC_Mappings,Current_Sharepoint_Link,New_Sharepoint_Link,TODOs
evidence-3.8.7_AdminAcct2.png,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E7%2Fevidence%2D3%2E8%2E7%5FAdminAcct2%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E7,,Mappings are incorrect. TODO: Confirm Digicert SSL usage internally
3_9_1 Personnel Screening Evidence.png,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FBackground%20Checks%2F3%5F9%5F1%20Personnel%20Screening%20Evidence%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FBackground%20Checks,,TODO: HRD-PRO-0011 policy for new employee vetting.
ABSG Cleared Staff Report 10 2025 as of 10-20-2025.xlsx,All staff with required logical and physical access are recorded and tracked. Personnel must have both a clearance and have completed CUI training to be granted access to Eagle-G system.,,3.9.1;3.9.2;3.2.1,https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B2A25648A-6D67-4B7E-84E6-65A729DFB6DB%7D&file=ABSG%20Cleared%20Staff%20Report%2010%202025%20as%20of%2010-20-2025.xlsx&action=default&mobileredirect=true,,TODO: Find out what system(s) this is exported from
ABS Visitor Badges.doc,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/ABS%20Visitor%20Badges.doc?d=w49d7610fdf4849358c759e80042f3916&csf=1&web=1&e=aSx4MJ,,
Washington| DC Office Visitor Log 2025.docx,Logging records for visitor access,,3.10.1,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/Washington|%20DC%20Office%20Visitor%20Log%202025.docx?d=w5818b3e3835b4d8c9204036ac199a57d&csf=1&web=1&e=yiHQr5,,
GEX-PRO-00058| Consultation and Participation| R1 (8).docx,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/GEX-PRO-00058|%20Consultation%20and%20Participation|%20R1%20%20(8).docx?d=we7f72880b39d4aea9cd66f12beb4da5f&csf=1&web=1&e=9cPBHP,,
ABS and Affiliated Companies Visitor Guide_Print Both sides on Short End.pdf,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/ABS%20and%20Affiliated%20Companies%20Visitor%20Guide_Print%20Both%20sides%20on%20Short%20End.docx?d=w5877db2c3e334f7a82bf04538bb15e0a&csf=1&web=1&e=pTblNp,,
80 M Street Access and Parking Info - For Visitors_10.1.2025.pdf,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/:b:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/80%20M%20Street%20Access%20and%20Parking%20Info%20-%20For%20Visitors_10.1.2025.pdf?csf=1&web=1&e=rcUB13,,
ABS Insider Threat Training.png,ABS provides Insider Threat Training via iAchieve training platform. All users are required to complete as a function of annual cybersecurity training,,3.2.3,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Security%20Awareness%20Training/ABS%20Insider%20Threat%20Training.png?csf=1&web=1&e=YdvORa,,Do I need to screenshot the whole training from I achieve?
ABS Cybersecurity Awareness Training.png,ABS provides Cybersecurity Awareness Training that includes security-related roles and responsibilities with respect to the protection of sensitive information,,3.2.2,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Security%20Awareness%20Training/ABS%20Cybersecurity%20Awareness%20Training.png?csf=1&web=1&e=ssFXyv,,Do I need to screenshot the whole training from I achieve?
Cybertraining 2.png,Employees are introduced to multiple cybersecurity information policies and aligned threat scenarios related to organizational systems,,3.2.1,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Security%20Awareness%20Training/Cybertraining%202.png?csf=1&web=1&e=Mhgtva,,Do I need to screenshot the whole training from I achieve?
Cybertraining.png,Security literacy training is provided to recognize and report social engineering and training.,,3.2.2,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Security%20Awareness%20Training/Cybertraining.png?csf=1&web=1&e=bsTVVa,,Do I need to screenshot the whole training from I achieve?
3_2_1 3_2_2 and 3_2_3 Training Evidence.png,Proof of Requirement to complete required training to maintain clearances and access to sensitive information | Include insider threat| PII| CUI| cybersecurity| etc. ABSG staff with clearances are required to complete these external trainings yearly.,3.2.2. 3.2.3,3.2.3;3.2.1,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Training/3_2_1%203_2_2%20and%203_2_3%20Training%20Evidence.png?csf=1&web=1&e=SZgiGu,,Want access to the certificates?
CUI training.docx,Employees are required to take CUI training to access Eagle G systems in I achieve . This CUI training Defines CUI| guidance for using CUI systems at ABS| responsibilities for access and usage of CUI specific to ABS polices.,,3.2.2,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Training/CUI%20training.docx?d=wa972e34c482644f9af970abd356e11db&csf=1&web=1&e=5Oy4rA,,
Cyber training log.xlsx,Proof of completed CUI training in ABS system I achieve| including CUI training| Cyber security| insider threat| data governance| etc.,,3.2.1,https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B1B0C368E-CBE8-4DD4-89EB-D82B57C45C2B%7D&file=Cyber%20training%20log.xlsx&action=default&mobileredirect=true,,
IMS-ATT-00151 REV 0 (1).docx,Policy in ETQ which details requirement for minimum annual trainings| including Cybersecurity| Insider Treat| and Role Based Security and Privacy Training.,,3.2.1,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-ATT-00151%20Rev%200%20(1).docx?d=w480e0e8e0d86478692f2fc72485e4e62&csf=1&web=1&e=hUv8Jh,,"Note this policy says we do role based training - confirmed with Roshini, we do not do this"
IMS-PRO-00109 Rev 1| Security of Controlled Unclassified Information (CUI).docx,Policy that states an additional training requirement for all person working with CUI will be required to take CUI training annually.,,3.2.1,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-PRO-00109%20Rev%201|%20Security%20of%20Controlled%20Unclassified%20Information%20(CUI).docx?d=w34ce2ea239334272b3f2346a5bd6aebe&csf=1&web=1&e=SL37TD,,Note table says they take  CUI data handling part 1 and 2. These aren't the trainings in I achieve. I believe it needs to be updated to Controlled Unclassified Information Curriculum
IMS-PRO-00103 Rev 4 (3).doc,CISR describes how ABS responds to a cyber related incident| including data incidents  subject to the U.S. International Traffic in Arms Regulations (ITAR)| the Export Administration Regulations (EAR) and Controlled Unclassified Information (CUI). Describes incident response phases| roles and responsibilities| and procedures.,,3.6.1; 3.6.2,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BABA67F2B-68A5-44E9-8BC3-2CE668E71557%7D&file=IMS-PRO-00103%20Rev%204%20(3).docx&action=default&mobileredirect=true,,Very similar to below plan
IMS-PRO-00002 Rev 4| Cybersecurity Technical Response.docx,Overall policy to cybersecurity Incident. Details if incident occurs| they should follow procedures set forth in attachment below,,3.6.1; 3.6.2,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-PRO-00002|%20Cybersecurity%20Incident%20Technical%20Response/IMS-PRO-00002%20Rev%204|%20Cybersecurity%20Incident%20Technical%20Response.docx?d=w4d6f4f5a6c8e4dfe90b96e71075ff609&csf=1&web=1&e=anXnyR,,"Very similar to above plan Below is attachment to this, that goes into much more detail, similar to above plan/ These three items need to be consolidated"
IMS-ATT-00009 Rev 4| Cybersecurity Incident Technical Response Plan.docx,CSITR Plan details ABS response to and adverse event to information systems. Describes incident response phases| roles and responsibilities| and procedures,,3.6.1; 3.6.2,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-PRO-00002|%20Cybersecurity%20Incident%20Technical%20Response/IMS-ATT-00009%20Rev%2004|%20Cybersecurity%20Incident%20Technical%20Response%20Plan.docx?d=w4d7e88a9085b43f1acbf370292855b91&csf=1&web=1&e=tbph4b,,Very similar to CISR. Needs to be consolidated
MandiantTableTopQ4-2024.docx,After action report for a tabletop exercise (TTX) that examined ABS’s proficiency and knowledge of the processes related to their cybersecurity incident response capability.,,3.6.3,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/IR%20Executive%20Tabletop/MandiantTableTopQ4-2024.docx?d=wa474c7bf613746fbb7424113b2627510&csf=1&web=1&e=aEnycM,,Another Tabletop scheduled for December
Log Review Process.pdf,Dashboard shows incidents that have occurred| their severity level| closed incidents| and incident numbers,,3.6.2,https://eagle.sharepoint.com/:b:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Log%20Review%20Process/Log%20Review%20Process.pdf?csf=1&web=1&e=UbgWSb,,Unsure on this one. Does this change with Summit 7 configs?
EagleG Patching.docx,Systems are patched and maintained via SCCM for servers and clients,,3.7.1;3.7.2;3.7.3,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BDC351082-29A0-46F9-9068-58E8DB430E41%7D&file=EagleG%20Patching.docx&action=default&mobileredirect=true,,Ask why they're using domain controllers and SCCM instead of using INTUNE
IMS-ATT-00153,ABS patching standard Policy,,3.7.1;3.7.2;3.7.3,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-POL-00003|%20Cybersecurity%20Policy%20Manual/IMS-ATT-00153%20Rev%200|%20IT%20Systems%20Patching%20Standard.docx?d=wd0955360e458490aa7db45109270cdbd&csf=1&web=1&e=u6hH1N,,TODO: Split maintenance/patching per device class
IMS-ATT-00149 Rev 0| IT Systems Maintenance Standard. Docx.,Maintenance Standard ll maintenance| repair or replacement activity of information systems and its components shall be part of an approved change request processed through the IT Change Management process.,,3.7.1;3.7.2;3.7.3,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-POL-00003|%20Cybersecurity%20Policy%20Manual/IMS-ATT-00149%20Rev%200|%20IT%20Systems%20Maintenance%20Standard.docx?d=wb0f2feb9290b456087c72db06c8b60b2&csf=1&web=1&e=wYed81,,TODO: Refactor
AVD-STIG checklist 3.5.html,Covers multiple domains of evidence displaying how laptops and AVD are restricted to reduce threat exposure.,3.4.1;3.4.2,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FCM%2F3%2E4%2E1%2FAVD%2DSTIG%20checklist%203%2E5%2Ehtml&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FAdmin%20Evidence%20Requirements%2FCM%2F3%2E4%2E1,,
IT CAB 10092025 Summary  Actions.msg,Details meeting notes and key outcomes from CAB meeting on 10/9,,3.4.3; 3.4.4,https://eagle.sharepoint.com/:u:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/IT%20CAB%2010092025%20Summary%20%20Actions.msg?csf=1&web=1&e=4ZsSrF,,
Weekly CAB Report  13 Oct 2025.msg,CAB reports details current change requests and status,,3.4.3; 3.4.4,https://eagle.sharepoint.com/:u:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Weekly%20CAB%20Report%20%2013%20Oct%202025.msg?csf=1&web=1&e=BOdBNO,,
Change Roles and Responsibilities (1).pdf,Details listed roles and descriptions of responsibilities for the IMS change management process.,,3.4.3; 3.4.4,https://eagle.sharepoint.com/:b:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Change%20Roles%20and%20Responsibilites%20(1).pdf?csf=1&web=1&e=fa1m2c,,
Ivanti Change Workflows (1).Pdf,Diagrams how change requests are reviewed and escalated based on type of change,,3.4.3,https://eagle.sharepoint.com/:b:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Ivanti%20Change%20Workflows%20(1).pdf?csf=1&web=1&e=sKf6QU,,
Rasing a Change Request (1).pdf,Jobb aid details how to request a change in Ivanti| and process for approvals and implementation,,3.4.3,https://eagle.sharepoint.com/:b:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Raising%20a%20Change%20Request%20(1).pdf?csf=1&web=1&e=IEuXbG ,,
7000885 CAB Votes.png,Screenshot from Ivanti shows approval tracking of change requests from CAB,,3.4.3,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G%207000885/7000885%20CAB%20Votes.png?csf=1&web=1&e=2d1bsd,,
7000885 Change Log.png,Screen shot shows the change request was marked as implemented,,3.4.3,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G%207000885/7000885%20Change%20Log.png?csf=1&web=1&e=LxzFnl,,
7000885 DATA.xlsx,Data from the Ivanti change request shows tracking of the change request|,,3.4.3,https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G%207000885/7000885%20DATA.xlsx?d=w339811a81095451394a4d7b50de5e32f&csf=1&web=1&e=FSqByI,,
7000885 Details.png,Details the overview of the change request| including description| type| service | category| reason| etc,,3.4.3;3.7.1,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G%207000885/7000885%20Details.png?csf=1&web=1&e=frArHy,,
7000108  CAB Vote.png,Screenshot from Ivanti shows approval tracking of change requests from CAB,,3.4.3,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G7000108/7000108%20%20CAB%20Vote.png?csf=1&web=1&e=DBFURc,,
7000108  Data Log.xlsx,Data from the Ivanti change request shows tracking of the change request|,,3.4.3,https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G7000108/7000108%20%20Data%20Log.xlsx?d=w2cafa9597eb541239f1921e40e66a9e3&csf=1&web=1&e=vM5kIP,,
7000108  Details.png,Details the overview of the change request| including description| type| service | category| reason| etc,,3.4.3,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G7000108/7000108%20%20Details.png?csf=1&web=1&e=ckik35,,
7000108 Change Log.png,Screen shot shows the change request was marked as implemented,,3.4.3,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G7000108/7000108%20Change%20Log.png?csf=1&web=1&e=iRplkh,,
GOV-CM-HM3D-2023_v8.pptx,Network Diagram for condition Manager,,,https://eagle.sharepoint.com/:p:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Change%20Control%20%26%20Maintenance%20Documentation/Eagle%20G7000108/GOV-CM-HM3D-2023_v8.pptx?d=wc3ab3cdb03c4467cb6b7f6048e97f107&csf=1&web=1&e=ql1y5u,,
